8.218.149.193, 8.218.149.193, HK
8.219.87.34, 8.219.87.34, SG
8.210.137.132, 8.210.137.132, HK
8.217.50.162, 8.217.50.162, HK
47.88.101.9, 47.88.101.9, US
47.91.28.15, 47.91.28.15, JP
8.219.140.63, 8.219.140.63, SG
47.236.12.240, 120.79.27.61, CN
47.236.117.48, 47.236.117.48, SG
8.219.200.145, 8.219.200.145, SG
47.74.12.137, 47.74.12.137, JP
47.245.96.163, 47.245.96.163, SG
47.89.244.253, 47.89.244.253, US
47.245.15.101, 47.245.15.101, JP
47.74.24.52, 47.74.24.52, JP
47.74.41.52, 47.74.41.52, JP
47.236.12.68, 120.79.27.61, CN
8.219.240.160, 8.219.240.160, SG
8.222.198.105, 8.222.198.105, SG
8.219.199.220, 8.219.199.220, SG
8.219.72.51, 8.219.72.51, SG
47.245.1.183, 47.245.1.183, JP
8.212.7.95, 8.212.22.44, HK
8.219.157.97, 8.219.157.97, SG
8.222.208.83, 8.222.208.83, SG
8.219.206.53, 8.219.206.53, SG
8.219.66.156, 8.219.66.156, SG
8.219.245.187, 8.219.245.187, SG
8.219.101.138, 8.219.101.138, SG
8.219.170.223, 8.219.170.223, SG
47.74.25.243, 47.74.25.243, JP
8.219.170.180, 8.219.170.180, SG
47.76.166.54, 8.219.212.74, SG
8.218.158.94, 8.218.158.94, HK
8.222.164.209, 8.222.164.209, SG
47.74.61.146, 47.74.61.146, JP
8.222.181.139, 8.222.175.6, SG
8.219.199.70, 8.219.199.70, SG
8.222.128.131, 8.222.128.131, SG
8.219.170.232, 8.219.170.232, SG
8.219.254.136, 159.69.57.44, DE
